fold_id,train_index_start,train_index_end,test_index_start,test_index_end,train_source_distribution,test_source_distribution,train_original_target_distribution,test_original_target_distribution,train_binary_target_distribution,test_binary_target_distribution,majority_baseline_accuracy_binary_test,recomputed_binary_model_accuracy,model_vs_baseline_delta,train_timestamp_min,train_timestamp_max,test_timestamp_min,test_timestamp_max,boundary_crossed
1,0,499,500,599,{'historical_outcomes': 500},"{'historical_outcomes': 97, 'internal_paper_trades': 3}","{'LOSS': 306, 'TP1 HIT': 157, 'WIN': 37}","{'LOSS': 57, 'TP1 HIT': 33, 'WIN': 10}","{'LOSS': 306, 'WIN': 194}","{'LOSS': 57, 'WIN': 43}",0.57,0.45,-0.12,2026-05-09T07:29:59.999000+00:00,2026-05-22T13:29:59.999000+00:00,2026-05-22T13:59:59.999000+00:00,2026-05-26T11:05:48.735914+00:00,True
2,100,599,600,699,"{'historical_outcomes': 497, 'internal_paper_trades': 3}",{'internal_paper_trades': 100},"{'LOSS': 311, 'TP1 HIT': 152, 'WIN': 37}","{'WIN': 59, 'LOSS': 41}","{'LOSS': 311, 'WIN': 189}","{'WIN': 59, 'LOSS': 41}",0.59,0.62,0.03,2026-05-11T23:44:59.999000+00:00,2026-05-26T11:05:48.735914+00:00,2026-05-26T14:20:13.099917+00:00,2026-06-07T22:14:59.999000+00:00,True
3,200,699,700,799,"{'historical_outcomes': 397, 'internal_paper_trades': 103}",{'internal_paper_trades': 100},"{'LOSS': 286, 'TP1 HIT': 124, 'WIN': 90}","{'WIN': 62, 'LOSS': 38}","{'LOSS': 286, 'WIN': 214}","{'WIN': 62, 'LOSS': 38}",0.62,0.43,-0.19,2026-05-14T19:14:59.999000+00:00,2026-06-07T22:14:59.999000+00:00,2026-06-07T22:25:12.832775+00:00,2026-06-11T15:55:52.664984+00:00,True
4,300,799,800,899,"{'historical_outcomes': 297, 'internal_paper_trades': 203}",{'internal_paper_trades': 100},"{'LOSS': 262, 'WIN': 144, 'TP1 HIT': 94}","{'WIN': 59, 'LOSS': 41}","{'LOSS': 262, 'WIN': 238}","{'WIN': 59, 'LOSS': 41}",0.59,0.54,-0.05,2026-05-17T21:29:59.999000+00:00,2026-06-11T15:55:52.664984+00:00,2026-06-11T19:30:30.284876+00:00,2026-06-15T01:50:31.845210+00:00,True
5,400,899,900,999,"{'internal_paper_trades': 303, 'historical_outcomes': 197}",{'internal_paper_trades': 100},"{'LOSS': 239, 'WIN': 197, 'TP1 HIT': 64}","{'WIN': 54, 'LOSS': 46}","{'WIN': 261, 'LOSS': 239}","{'WIN': 54, 'LOSS': 46}",0.54,0.61,0.07,2026-05-20T17:14:59.999000+00:00,2026-06-15T01:50:31.845210+00:00,2026-06-15T01:50:52.335842+00:00,2026-06-20T06:55:59.805987+00:00,True
