id,timestamp,source_signal_timestamp,symbol,confidence,status,exit_reason,pnl,updated_at
38952,2026-06-29T15:12:59.662607+00:00,2026-06-27T13:05:49.272807+00:00,SKHYNIXUSDT,93.63,CLOSED,STOP_LOSS,-2.084731,2026-06-29T15:15:09.505862+00:00
38949,2026-06-29T15:12:59.629291+00:00,2026-06-27T13:05:29.561188+00:00,SKHYNIXUSDT,93.38,CLOSED,STOP_LOSS,-2.109013,2026-06-29T15:15:09.505839+00:00
